ingredient,frequency,harm_level,harm_score
salmon,609,moderate,2
tomatpur,609,moderate,2
pate de cacao,609,moderate,2
cheddar,608,moderate,2
potassium nitrate,608,hazardous,4
tartrazina,607,moderate,2
dehydrated red bell pepper,607,safe,1
organic maltodextrin,606,moderately high,3
vitamine a,605,moderate,2
contient du lait,605,moderate,2
green onions,605,moderate,2
galangal,605,moderate,2
darachides,605,moderate,2
humectant glycerol,605,moderate,2
gemodificeerd aardappelzetmeel,605,moderate,2
lemon juice powder,604,moderate,2
ketchup,604,moderate,2
food acids,604,moderate,2
kaliumchloride,604,moderate,2
suomi,604,moderate,2
sunflower seed,603,safe,1
kaliumsorbaat,603,moderate,2
pasteurized whole milk,602,safe,1
sulfite,602,moderately high,3
ensugar,602,moderate,2
parmesan,601,moderate,2
cocoa paste,601,safe,1
mandorle,600,moderate,2
vegetarisch stremsel,600,moderate,2
mandel,599,moderate,2
protines de bl,599,moderate,2
food starch modified,598,moderate,2
feuchthaltemittel sorbit,598,moderate,2
ethoxylated mono and diglycerides,598,moderate,2
lab,598,moderate,2
tofu,597,moderate,2
refined wheat flour,597,safe,1
miazga kakaowa,597,moderate,2
maida,596,safe,1
reduced lactose whey,596,moderate,2
cream milk,596,safe,1
soybean andor sunflower seed,596,safe,1
contains soy,596,safe,1
anchois,596,moderate,2
pte de noisettes,596,moderate,2
vitamin k,595,moderate,2
as preservative,595,moderately high,3
evaporated cane syrup,595,moderate,2
natural vanilla,595,safe,1
lime oil,595,moderate,2
orange oil,595,moderate,2
pche,595,moderate,2
olives noires,595,moderate,2
serwatka w proszku,595,moderate,2
mulsifiants lcithines soja,595,moderate,2
concentrated apple juice,594,safe,1
cido srbico,594,moderate,2
dekstroza,594,moderate,2
patata,594,moderate,2
ufs entiers,594,moderate,2
almond flour,593,safe,1
organic locust bean gum,593,moderate,2
mold inhibitor,593,moderate,2
estabilizador,593,moderate,2
sel nitrit,593,moderate,2
extrait de romarin,592,moderate,2
dried potato,592,safe,1
xanthaangom,592,moderate,2
carote,591,moderate,2
citronnelle,591,moderate,2
hibiskus,590,moderate,2
lcysteine hydrochloride,589,moderate,2
pimiento,589,moderate,2
sweet cream buttermilk,589,safe,1
agaricus bisporus,589,moderate,2
extrait dpice,589,moderate,2
froment,589,moderate,2
atleastscans,589,moderate,2
pasteurised egg,588,safe,1
geliermittel,588,moderate,2
pistazien,588,moderate,2
crales,587,moderate,2
kurkumin,586,moderate,2
enriched unbleached wheat flour,586,safe,1
