ingredient,frequency,harm_level,harm_score
calcium disodium edta to protect flavor,366,hazardous,4
marshmallows,366,moderate,2
saccharin,366,hazardous,4
kakaomassa,366,moderate,2
stabilisant sorbitols,366,moderate,2
cooked pasta,365,moderate,2
vit c,365,moderate,2
arachidi,365,moderate,2
extractives of turmeric,365,safe,1
fruit and vegetable juice for color,365,moderate,2
pure de mangue,365,moderate,2
gekaramelliseerde suiker,365,moderate,2
sojasaus,365,moderate,2
paprikaextract,365,moderate,2
stabilointiaine,365,moderate,2
vegetable mono diglycerides,364,moderate,2
beurre sal,364,moderate,2
ennuts,364,moderate,2
sodium carboxymethylcellulose,363,moderate,2
concentrate,363,moderate,2
soybean andor cottonseed oils,363,safe,1
dimethylpolysiloxane,363,moderate,2
sureau,363,moderate,2
arme naturel de citron avec autres armes naturels,363,moderate,2
fettarme milch,363,moderate,2
stabilisator johannisbrotkernmehl,363,moderate,2
carbonate de magnsium,362,moderate,2
milcheiweiss,362,moderate,2
parmesan cheese pasteurized milk,362,safe,1
apa,362,moderate,2
filberts,362,moderate,2
karragenan,362,moderate,2
rosinen,362,moderate,2
marchew,362,moderate,2
extrait de vin blanc,362,moderate,2
vainilla,362,moderate,2
xylanase,361,moderate,2
cheese blend,361,safe,1
modified soy protein,361,moderate,2
caramel coloring,361,moderate,2
trehalose,361,moderate,2
colorante natural,361,moderate,2
schwein,361,moderate,2
vitaminer,361,moderate,2
frbendes lebensmittel,361,moderate,2
fines herbes,361,moderate,2
lactasa,361,moderate,2
mgkg,361,moderate,2
shiitake mushroom,360,moderate,2
rouge de betterave,360,moderate,2
potassium salt,360,safe,1
spices and herbs,360,moderate,2
rbenzucker,360,moderate,2
kalium,360,moderate,2
druesukker,360,moderate,2
pollock,359,moderate,2
carragenanos,359,moderate,2
ground paprika,359,moderate,2
corn masa flour,359,safe,1
organic peanuts,359,moderate,2
pineapple juice from concentrate,359,moderate,2
vitamin,359,moderate,2
exhausteur de got e,359,moderate,2
cukrus,359,moderate,2
sel fin,359,moderate,2
bevat tarwe,359,moderate,2
sprinkles,358,moderate,2
oignons frits,358,moderate,2
organic rosemary extract,358,moderate,2
sucre liquide,358,moderate,2
propanediol,358,moderate,2
chili pepper extract,358,moderate,2
carota,358,moderate,2
geleermiddel,358,moderate,2
drode,358,moderate,2
figues,357,moderate,2
lentil flour,357,safe,1
guarkjernemel,357,moderate,2
white grape juice from concentrate,357,moderate,2
lemon pulp,357,safe,1
selenium,357,moderate,2
fond de volaille,357,moderate,2
leche descremada,357,moderate,2
brown cane sugar,356,moderately high,3
concombre,356,moderate,2
egg albumen,356,safe,1
organic agave nectar,356,moderate,2
pasteurized eggs,356,moderate,2
gluconodeltalactone,356,moderate,2
fructooligosaccharides,356,moderate,2
mot de raisin,356,moderate,2
pistache,356,moderate,2
enwheat,356,moderate,2
elderberry,355,moderate,2
eisen,355,moderate,2
chick peas,355,safe,1
sodium pyrophosphate,355,moderate,2
calcium sulphate,355,moderate,2
amidon de manioc,355,moderate,2
farine de mais,355,moderate,2
rietsuiker,355,moderate,2
sodium hyaluronate,354,moderate,2
sarrasin,354,moderate,2
bromelain,354,moderate,2
lime juice powder,354,moderate,2
arme naturel dail,354,moderate,2
organic soy flour,354,safe,1
saborizante,354,moderate,2
cooked beef,354,moderate,2
ethanol,354,moderate,2
queso,354,moderate,2
stabilizator,354,moderate,2
enrootvegetable,354,moderate,2
dried vinegar,353,moderate,2
de gluten,353,moderate,2
soya bean,353,safe,1
sale iodato,353,moderate,2
annatto vegetable color,353,moderate,2
vegetable fibre,353,moderate,2
potassium acetate,352,moderate,2
contains less than of natural flavor,352,moderate,2
ingredients,352,moderate,2
aspergillus oryzae,352,moderate,2
lupinen,352,moderate,2
kakaov hmota,352,moderate,2
farine de sarrasin,352,moderate,2
gulrot,352,moderate,2
pepe,352,moderate,2
carbonato cido de sodio,352,moderate,2
natriumascorbaat e,352,moderate,2
antioxidante cido ascrbico,352,moderate,2
asparagus,351,moderate,2
phosphate tricalcique,351,moderately high,3
fruit coque,351,moderate,2
carbonatos de sodio,351,moderate,2
emulsionante lecitina di girasole,350,moderate,2
nelken,350,moderate,2
panax ginseng root extract,350,moderate,2
mehl,350,moderate,2
characteristics completed,350,moderate,2
organic expeller pressed canola oil,349,moderate,2
contains or less of sugar,349,moderately high,3
dehydrated potato,349,safe,1
triethyl citrate,349,moderate,2
reifungskulturen,349,moderate,2
weingeistessig,349,moderate,2
stivelse,349,moderate,2
huile de tournesol olique,349,moderate,2
chia seed,348,safe,1
organic cheddar cheese,348,safe,1
ingefr,348,moderate,2
diglycerides,348,moderate,2
malt vinegar,348,moderate,2
soybean and palm oil with tbhq for freshness,348,hazardous,4
emulgator lecithinen,348,moderate,2
paississants gomme xanthane,348,moderate,2
pure de tomates double concentre,348,moderate,2
glyceryl monostearate,347,moderate,2
to protect taste,347,moderate,2
barley flour,347,safe,1
orangensaftkonzentrat,347,moderate,2
riz basmati,347,safe,1
stearyl alcohol,347,moderate,2
walnsse,347,moderate,2
antioxydant extrait de romarin,347,moderate,2
natriumcarbonaten,347,moderate,2
siero di latte,347,moderate,2
artificial butter flavor,346,moderate,2
gomme dacacia,346,moderate,2
anhydrous dextrose,346,moderately high,3
clarified butter,346,safe,1
vegetable juice concentrate,346,moderate,2
juice concentrate,346,moderate,2
peg hydrogenated castor oil,346,moderate,2
extrait riche en tocophrols,346,moderate,2
lemon puree,345,safe,1
enzymes and annatto,345,moderate,2
sirop de glucose fructose,345,moderately high,3
citromsav,345,moderate,2
natriumnitriet e,345,moderate,2
sugarglucosefructose,344,moderate,2
sulfiet,344,moderate,2
dehydrated onion and garlic,344,safe,1
palmowy,344,moderate,2
himalayan salt,344,safe,1
pure vanilla,344,safe,1
avellanas,344,moderate,2
suerungsmittel zitronensure,344,moderate,2
oncorhynchus mykiss,344,moderate,2
dixido de silicio,343,moderate,2
smoked salt,343,safe,1
shiitake mushrooms,343,moderate,2
jus de pomme concentr,343,moderate,2
soda,343,moderate,2
alaska pollock,343,moderate,2
pesce,343,moderate,2
vitaminen,343,moderate,2
rapsolie,343,moderate,2
enzymen,343,moderate,2
lecitina,342,moderate,2
vit,342,moderate,2
orzo,342,moderate,2
erythorbic acid,342,moderate,2
chilli flakes,342,safe,1
organic white vinegar,342,moderate,2
organic mustard seed,342,safe,1
textured soy protein,342,safe,1
acidity regulator lactic acid,342,moderate,2
sucre de cannequot,342,moderate,2
apfelsaft aus apfelsaftkonzentrat,342,moderate,2
engluten,342,moderate,2
soya protein isolate,341,moderate,2
pea fiber,341,moderate,2
emulgator sojalecithin,341,moderate,2
mono,341,moderate,2
artichokes,341,moderate,2
slidos lcteos,341,moderate,2
sale da cucina,341,moderate,2
verdikkingsmiddelen,341,moderate,2
guma guar,341,moderate,2
dont cleri,340,moderate,2
monoand diglycerides of fatty acids,340,moderate,2
acesulfamo k,340,moderate,2
enflour,340,moderate,2
antiaglomerante,339,moderate,2
beet juice concentrate,339,moderate,2
diced peaches,339,moderate,2
dark brown sugar,339,moderately high,3
antiossidante ascorbato di sodio,339,moderate,2
paississant pectines,339,moderate,2
enmonosaccharide,339,moderate,2
emulsionanti,338,moderate,2
verdickungsmittel pektine,338,moderate,2
including paprika,338,moderate,2
organic skim milk,338,safe,1
riso,338,moderate,2
origine vgtale,338,moderate,2
volleipulver,337,moderate,2
du lait,337,moderate,2
see ingredients in bold also,337,moderate,2
sorghum,337,moderate,2
honing,337,moderate,2
betakaroten,337,moderate,2
bakpulver,337,moderate,2
espessante,337,moderate,2
peperoni,337,moderate,2
ene,337,moderate,2
agar agar,336,moderate,2
caraway seeds,336,moderate,2
allantoin,336,moderate,2
leavening agent,336,moderate,2
fat free milk,336,safe,1
msg,336,moderately high,3
doeufs,336,moderate,2
sare iodat,336,moderate,2
ginger root,335,safe,1
kanel,335,moderate,2
flax,335,moderate,2
extrait de caf,335,moderate,2
sucre de canne blond,335,moderate,2
clous de girofle,335,moderate,2
acesulfamk,335,moderate,2
trace of lime,335,moderate,2
phosphate de sodium,335,moderately high,3
red chili,335,moderate,2
salsa,335,moderate,2
penino brano,335,moderate,2
frise,335,moderate,2
textured soy protein concentrate,334,moderate,2
cyanocobalamine,334,moderate,2
milchprotein,334,moderate,2
ststoff,334,moderate,2
cultured partskim milk,334,safe,1
cheddar cheese cultured milk,334,safe,1
lobster,334,moderate,2
smoke,334,moderate,2
camellia sinensis,333,moderate,2
hvetegluten,333,moderate,2
wheatflour,333,moderate,2
cultured grade a non fat milk,333,safe,1
mel,333,moderate,2
ins d,333,moderate,2
retinyl palmitate,332,moderate,2
pea flour,332,moderate,2
dried,332,moderate,2
quinoa flour,332,safe,1
glucuronolactone,332,moderate,2
thunnus albacares,332,moderate,2
saborizantes artificiales,332,moderate,2
arme naturel de framboise,332,moderate,2
clupea harengus,332,moderate,2
oignons prfrits,332,moderate,2
sulfato de zinc,331,moderate,2
grano,331,moderate,2
passion fruit,331,moderate,2
soy lecithinan emulsifier,331,moderate,2
iron and zinc,331,moderate,2
poivre de cayenne,331,moderate,2
sherry wine,331,moderate,2
ssamo,331,moderate,2
golden raisins,331,moderate,2
non fat milk,331,safe,1
polyphosphate,331,moderately high,3
sirop dagave,331,moderate,2
fibre de bambou,331,moderate,2
huile de navette,331,moderate,2
graine de soja,331,moderate,2
surhedsregulerende middel,331,moderate,2
crema di latte,331,moderate,2
liquid smoke,330,moderate,2
difosfato disodico,330,moderate,2
tamari soy sauce,330,safe,1
calcium propionate preservative,330,moderately high,3
stabiliser xanthan gum,330,moderate,2
man,330,moderate,2
sesamzaad,330,moderate,2
correcteur dacidit citrates de sodium,330,moderate,2
suero lcteo en polvo,330,moderate,2
malto dorzo,330,moderate,2
noten,329,moderate,2
potassium carbonates,329,moderate,2
barley malt syrup,329,moderate,2
ijzer,329,moderate,2
schafsaitling,329,moderate,2
huile vgtale de colza,329,moderate,2
green cabbage,328,safe,1
guarana extract,328,moderate,2
beta carotene for color,328,safe,1
glyceryl oleate,328,moderate,2
tapiocazetmeel,328,moderate,2
kaliumcarbonate,328,moderate,2
antiklontermiddel,328,moderate,2
barley malt powder,327,moderate,2
contient moutarde,327,moderate,2
organic strawberry puree,327,safe,1
carrot fiber,327,safe,1
traube,327,moderate,2
sunflower andor safflower oil,327,moderate,2
regulador de la acidez,327,moderate,2
herbes et pices,327,moderate,2
zuurteregelaars,327,moderate,2
puerro,327,moderate,2
sodium sulfite,326,moderately high,3
vanillin artificial flavor,326,moderately high,3
dried vegetables,326,moderate,2
saccharomyces cerevisiae,326,moderate,2
pectine de fruits,326,moderate,2
jaunes doeufs,326,moderate,2
calcio,325,moderate,2
acidity regulators citric acid,325,moderate,2
organic stevia extract,325,moderate,2
carob bean,325,safe,1
red chilli powder,325,moderate,2
green chilli,325,safe,1
glutinous rice,325,safe,1
preservative calcium propionate,325,moderately high,3
harina integral de trigo,325,moderate,2
mageremelkpoeder,325,moderate,2
correcteur dacidit e,325,moderate,2
zinc citrate,324,moderate,2
antiagglomrant,324,moderate,2
fibre vgtale,324,moderate,2
chicken breast meat,324,safe,1
hydrolyzed corn,324,safe,1
mononatriumglutamat,324,moderate,2
arme artificiel,324,moderate,2
bleu brillant fcf,324,moderate,2
dextrza,324,moderate,2
boneless,323,moderate,2
nisin preparation,323,moderate,2
chocolate flavored coating,323,safe,1
beef and pork,323,moderate,2
unbleached flour,323,moderate,2
carob gum,323,moderate,2
fruktosesirup,323,moderate,2
carrot juice,323,safe,1
colour plain caramel,323,moderate,2
liquid glucose,323,moderately high,3
leudante,323,moderate,2
vollemelkpoeder,323,moderate,2
low fat cocoa powder,322,moderate,2
guava,322,safe,1
sweet whey,322,moderate,2
organic butter,322,safe,1
coriander seed,322,safe,1
black carrot juice concentrate,322,moderate,2
methylisothiazolinone,322,moderate,2
correctores de acidez,322,moderate,2
persilja,322,moderate,2
enacid,322,moderate,2
poudre lever carbonates dammonium,321,moderate,2
herb,321,safe,1
betacarotin,321,moderate,2
soy bean oil,321,moderate,2
fdc yellow no,321,moderate,2
farinha de trigo enriquecida com ferro e cido flico,321,moderate,2
glifiant e,321,moderate,2
chromium,320,moderate,2
light brown sugar,320,moderately high,3
farine de bl enrichie,320,moderate,2
leavening sodium acid pyrophosphate,320,moderate,2
essig,320,moderate,2
weikohl,320,moderate,2
poivres,320,moderate,2
potet,319,moderate,2
egg powder,319,moderate,2
peppermint,319,moderate,2
red chilli pure,319,safe,1
yellow corn,319,safe,1
dinde,319,moderate,2
organic peanut butter,319,safe,1
sem glten,319,moderate,2
soy beans,319,safe,1
paraffinum liquidum,319,moderate,2
